question_no,test_type,category,emoji,question_text,question_subtext,choice_order,choice_text,score
5,money,luck,🎁,선물이나 보너스를 받으면 어떤 감정이 가장 먼저 드나요?,가장 솔직한 답을 선택해 주세요.,4,다음에도 이런 일이 생길까 생각한다,6
6,money,money_habit,📱,결제 알림이 뜰 때 당신의 반응은?,평소와 가장 비슷한 반응을 골라주세요.,1,지출 내역을 바로 확인한다,9
6,money,money_habit,📱,결제 알림이 뜰 때 당신의 반응은?,평소와 가장 비슷한 반응을 골라주세요.,2,대충 보고 넘긴다,4
6,money,money_habit,📱,결제 알림이 뜰 때 당신의 반응은?,평소와 가장 비슷한 반응을 골라주세요.,3,예산 안인지 계산한다,8
6,money,money_habit,📱,결제 알림이 뜰 때 당신의 반응은?,평소와 가장 비슷한 반응을 골라주세요.,4,괜히 불안해진다,3
7,money,money_habit,🏦,월급날 또는 입금일에 가장 먼저 하는 행동은?,가장 자주 하는 행동을 골라주세요.,1,저축/투자부터 분리한다,10
7,money,money_habit,🏦,월급날 또는 입금일에 가장 먼저 하는 행동은?,가장 자주 하는 행동을 골라주세요.,2,이번 달 쓸돈을 계산한다,8
7,money,money_habit,🏦,월급날 또는 입금일에 가장 먼저 하는 행동은?,가장 자주 하는 행동을 골라주세요.,3,사고 싶던 것을 찾아본다,4
7,money,money_habit,🏦,월급날 또는 입금일에 가장 먼저 하는 행동은?,가장 자주 하는 행동을 골라주세요.,4,일단 기분 좋게 쉬고 본다,5
8,money,luck,🌈,길을 걷다가 우연히 동전을 보면 어떻게 하나요?,재미로 가장 가까운 항목을 골라주세요.,1,주워서 보관한다,7
8,money,luck,🌈,길을 걷다가 우연히 동전을 보면 어떻게 하나요?,재미로 가장 가까운 항목을 골라주세요.,2,행운의 신호라고 생각한다,10
8,money,luck,🌈,길을 걷다가 우연히 동전을 보면 어떻게 하나요?,재미로 가장 가까운 항목을 골라주세요.,3,그냥 지나친다,4
8,money,luck,🌈,길을 걷다가 우연히 동전을 보면 어떻게 하나요?,재미로 가장 가까운 항목을 골라주세요.,4,사진 찍어 두고 싶다,6
9,money,daily,🧾,가계부나 소비 기록을 얼마나 자주 확인하나요?,평소 습관에 맞게 골라주세요.,1,거의 매일 본다,10
9,money,daily,🧾,가계부나 소비 기록을 얼마나 자주 확인하나요?,평소 습관에 맞게 골라주세요.,2,주 1~2회 본다,8
9,money,daily,🧾,가계부나 소비 기록을 얼마나 자주 확인하나요?,평소 습관에 맞게 골라주세요.,3,생각날 때만 본다,5
9,money,daily,🧾,가계부나 소비 기록을 얼마나 자주 확인하나요?,평소 습관에 맞게 골라주세요.,4,거의 보지 않는다,2
10,money,luck,🎯,오늘 돈과 관련해 가장 기대되는 일은 무엇인가요?,직관적으로 선택해 주세요.,1,생각보다 지출이 적은 것,8
10,money,luck,🎯,오늘 돈과 관련해 가장 기대되는 일은 무엇인가요?,직관적으로 선택해 주세요.,2,작은 수입이 생기는 것,10
10,money,luck,🎯,오늘 돈과 관련해 가장 기대되는 일은 무엇인가요?,직관적으로 선택해 주세요.,3,좋은 할인 기회를 찾는 것,7
10,money,luck,🎯,오늘 돈과 관련해 가장 기대되는 일은 무엇인가요?,직관적으로 선택해 주세요.,4,딱히 기대는 없다,3
11,money,daily,🛒,마트나 편의점에서 장을 볼 때 가장 먼저 하는 일은?,평소 행동을 골라주세요.,1,가격표를 비교한다,9
11,money,daily,🛒,마트나 편의점에서 장을 볼 때 가장 먼저 하는 일은?,평소 행동을 골라주세요.,2,필요한 것만 빠르게 산다,8
11,money,daily,🛒,마트나 편의점에서 장을 볼 때 가장 먼저 하는 일은?,평소 행동을 골라주세요.,3,행사 코너부터 본다,7
11,money,daily,🛒,마트나 편의점에서 장을 볼 때 가장 먼저 하는 일은?,평소 행동을 골라주세요.,4,눈에 띄는 걸 담는다,3
12,money,money_habit,📅,월말이 다가오면 어떤 마음이 드나요?,평소 상태와 가장 가까운 답을 골라주세요.,1,예산 마무리를 점검한다,9
12,money,money_habit,📅,월말이 다가오면 어떤 마음이 드나요?,평소 상태와 가장 가까운 답을 골라주세요.,2,이번 달도 잘 버텼다고 느낀다,7
12,money,money_habit,📅,월말이 다가오면 어떤 마음이 드나요?,평소 상태와 가장 가까운 답을 골라주세요.,3,돈이 어디 갔는지 궁금하다,4
12,money,money_habit,📅,월말이 다가오면 어떤 마음이 드나요?,평소 상태와 가장 가까운 답을 골라주세요.,4,괜히 초조하다,3
13,money,luck,🔔,알림이 울렸을 때 가장 기대되는 메시지는?,가장 공감되는 항목을 골라주세요.,1,입금 알림,10
13,money,luck,🔔,알림이 울렸을 때 가장 기대되는 메시지는?,가장 공감되는 항목을 골라주세요.,2,할인 쿠폰 알림,7
13,money,luck,🔔,알림이 울렸을 때 가장 기대되는 메시지는?,가장 공감되는 항목을 골라주세요.,3,포인트 적립 알림,8
13,money,luck,🔔,알림이 울렸을 때 가장 기대되는 메시지는?,가장 공감되는 항목을 골라주세요.,4,친구의 밥 약속 연락,6
14,money,money_habit,💳,카드를 여러 장 쓸 때 당신의 방식은?,가장 자주 하는 방식으로 골라주세요.,1,혜택별로 나눠 쓴다,10
14,money,money_habit,💳,카드를 여러 장 쓸 때 당신의 방식은?,가장 자주 하는 방식으로 골라주세요.,2,주로 한 장만 쓴다,8
14,money,money_habit,💳,카드를 여러 장 쓸 때 당신의 방식은?,가장 자주 하는 방식으로 골라주세요.,3,되는 대로 쓴다,4
14,money,money_habit,💳,카드를 여러 장 쓸 때 당신의 방식은?,가장 자주 하는 방식으로 골라주세요.,4,카드보다 현금을 선호한다,7
15,money,daily,🌙,잠들기 전 돈과 관련해 가장 자주 떠올리는 것은?,솔직한 답을 선택해 주세요.,1,내일 쓸 예산,8
15,money,daily,🌙,잠들기 전 돈과 관련해 가장 자주 떠올리는 것은?,솔직한 답을 선택해 주세요.,2,더 벌 수 있는 방법,10
15,money,daily,🌙,잠들기 전 돈과 관련해 가장 자주 떠올리는 것은?,솔직한 답을 선택해 주세요.,3,오늘 쓴 돈,6
15,money,daily,🌙,잠들기 전 돈과 관련해 가장 자주 떠올리는 것은?,솔직한 답을 선택해 주세요.,4,가능하면 생각 안 한다,3
16,money,luck,🚪,새로운 기회 제안을 받았을 때 보통 어떤 편인가요?,재물운과 관련한 태도를 골라주세요.,1,내용을 꼼꼼히 본 뒤 판단한다,9
16,money,luck,🚪,새로운 기회 제안을 받았을 때 보통 어떤 편인가요?,재물운과 관련한 태도를 골라주세요.,2,좋아 보이면 빠르게 잡는다,8
16,money,luck,🚪,새로운 기회 제안을 받았을 때 보통 어떤 편인가요?,재물운과 관련한 태도를 골라주세요.,3,일단 의심부터 든다,5
16,money,luck,🚪,새로운 기회 제안을 받았을 때 보통 어떤 편인가요?,재물운과 관련한 태도를 골라주세요.,4,귀찮아서 넘긴다,2
17,money,money_habit,🧠,돈을 잘 모은 사람을 보면 가장 먼저 드는 생각은?,가장 가까운 답을 골라주세요.,1,습관이 중요하구나,9
17,money,money_habit,🧠,돈을 잘 모은 사람을 보면 가장 먼저 드는 생각은?,가장 가까운 답을 골라주세요.,2,나도 해볼 수 있겠다,8
17,money,money_habit,🧠,돈을 잘 모은 사람을 보면 가장 먼저 드는 생각은?,가장 가까운 답을 골라주세요.,3,운도 따라야 한다,6
17,money,money_habit,🧠,돈을 잘 모은 사람을 보면 가장 먼저 드는 생각은?,가장 가까운 답을 골라주세요.,4,나는 쉽지 않을 것 같다,3
18,money,daily,📦,택배가 도착했을 때 어떤 기분이 드나요?,평소와 비슷한 답을 골라주세요.,1,만족감이 든다,5
18,money,daily,📦,택배가 도착했을 때 어떤 기분이 드나요?,평소와 비슷한 답을 골라주세요.,2,필요한 걸 잘 샀다고 느낀다,8
18,money,daily,📦,택배가 도착했을 때 어떤 기분이 드나요?,평소와 비슷한 답을 골라주세요.,3,돈 쓴 게 잠깐 떠오른다,4
18,money,daily,📦,택배가 도착했을 때 어떤 기분이 드나요?,평소와 비슷한 답을 골라주세요.,4,다음엔 더 신중해야지 생각한다,7
19,money,luck,💡,갑자기 떠오른 아이디어로 돈을 벌 수 있다면?,가장 가까운 행동을 골라주세요.,1,메모하고 구체화한다,10
19,money,luck,💡,갑자기 떠오른 아이디어로 돈을 벌 수 있다면?,가장 가까운 행동을 골라주세요.,2,가볍게 검색해 본다,8
19,money,luck,💡,갑자기 떠오른 아이디어로 돈을 벌 수 있다면?,가장 가까운 행동을 골라주세요.,3,좋지만 실행은 미룬다,4
19,money,luck,💡,갑자기 떠오른 아이디어로 돈을 벌 수 있다면?,가장 가까운 행동을 골라주세요.,4,금방 잊어버린다,2
20,money,money_habit,🧮,1만원 이하 소액 지출도 신경 쓰는 편인가요?,평소 습관에 맞게 골라주세요.,1,꼼꼼히 본다,10
20,money,money_habit,🧮,1만원 이하 소액 지출도 신경 쓰는 편인가요?,평소 습관에 맞게 골라주세요.,2,어느 정도만 본다,7
20,money,money_habit,🧮,1만원 이하 소액 지출도 신경 쓰는 편인가요?,평소 습관에 맞게 골라주세요.,3,큰돈만 신경 쓴다,4
20,money,money_habit,🧮,1만원 이하 소액 지출도 신경 쓰는 편인가요?,평소 습관에 맞게 골라주세요.,4,잘 모르겠다,3
21,money,daily,👛,지갑 안 현금이 거의 없을 때 반응은?,가장 솔직한 답을 골라주세요.,1,바로 채워 넣는다,7
21,money,daily,👛,지갑 안 현금이 거의 없을 때 반응은?,가장 솔직한 답을 골라주세요.,2,요즘은 카드/간편결제면 충분하다,6
21,money,daily,👛,지갑 안 현금이 거의 없을 때 반응은?,가장 솔직한 답을 골라주세요.,3,왠지 불안하다,4
21,money,daily,👛,지갑 안 현금이 거의 없을 때 반응은?,가장 솔직한 답을 골라주세요.,4,현금 안 써서 신경 안 쓴다,5
22,money,luck,🎈,우연히 좋은 가격을 발견했을 때 당신은?,가장 가까운 행동을 골라주세요.,1,필요 여부부터 생각한다,9
22,money,luck,🎈,우연히 좋은 가격을 발견했을 때 당신은?,가장 가까운 행동을 골라주세요.,2,이건 행운이라며 산다,6
22,money,luck,🎈,우연히 좋은 가격을 발견했을 때 당신은?,가장 가까운 행동을 골라주세요.,3,일단 저장해 둔다,8
22,money,luck,🎈,우연히 좋은 가격을 발견했을 때 당신은?,가장 가까운 행동을 골라주세요.,4,관심 없다,4
23,money,money_habit,🧺,정기구독 서비스는 어떻게 관리하나요?,실제 패턴에 가깝게 골라주세요.,1,정기적으로 정리한다,10
23,money,money_habit,🧺,정기구독 서비스는 어떻게 관리하나요?,실제 패턴에 가깝게 골라주세요.,2,가끔 한 번씩 확인한다,7
23,money,money_habit,🧺,정기구독 서비스는 어떻게 관리하나요?,실제 패턴에 가깝게 골라주세요.,3,결제될 때 알게 된다,3
23,money,money_habit,🧺,정기구독 서비스는 어떻게 관리하나요?,실제 패턴에 가깝게 골라주세요.,4,신경 안 쓰는 편이다,2
24,money,daily,🚶,외출 전에 체크하는 것 중 돈과 가장 관련 있는 것은?,가장 가까운 항목을 골라주세요.,1,카드/지갑 챙겼는지,8
24,money,daily,🚶,외출 전에 체크하는 것 중 돈과 가장 관련 있는 것은?,가장 가까운 항목을 골라주세요.,2,쿠폰/포인트 있는지,9
24,money,daily,🚶,외출 전에 체크하는 것 중 돈과 가장 관련 있는 것은?,가장 가까운 항목을 골라주세요.,3,오늘 예산 얼마인지,10
24,money,daily,🚶,외출 전에 체크하는 것 중 돈과 가장 관련 있는 것은?,가장 가까운 항목을 골라주세요.,4,딱히 없다,3
25,money,luck,🪄,작은 행운이 이어질 때 당신은 어떻게 하나요?,가장 비슷한 반응을 골라주세요.,1,기회를 더 살핀다,10
25,money,luck,🪄,작은 행운이 이어질 때 당신은 어떻게 하나요?,가장 비슷한 반응을 골라주세요.,2,기분 좋게 즐긴다,7
25,money,luck,🪄,작은 행운이 이어질 때 당신은 어떻게 하나요?,가장 비슷한 반응을 골라주세요.,3,우연이라 생각한다,5
25,money,luck,🪄,작은 행운이 이어질 때 당신은 어떻게 하나요?,가장 비슷한 반응을 골라주세요.,4,오히려 불안하다,3
26,money,money_habit,📈,소액이라도 투자 경험이 생기면 어떤가요?,가장 가까운 태도를 골라주세요.,1,원리를 더 공부한다,10
26,money,money_habit,📈,소액이라도 투자 경험이 생기면 어떤가요?,가장 가까운 태도를 골라주세요.,2,작게 계속 해본다,8
26,money,money_habit,📈,소액이라도 투자 경험이 생기면 어떤가요?,가장 가까운 태도를 골라주세요.,3,수익만 확인한다,5
26,money,money_habit,📈,소액이라도 투자 경험이 생기면 어떤가요?,가장 가까운 태도를 골라주세요.,4,불안해서 금방 그만둔다,3
27,money,daily,🍱,점심 메뉴를 고를 때 가장 큰 기준은?,가장 자주 따르는 기준을 골라주세요.,1,가격,8
27,money,daily,🍱,점심 메뉴를 고를 때 가장 큰 기준은?,가장 자주 따르는 기준을 골라주세요.,2,만족감,6
27,money,daily,🍱,점심 메뉴를 고를 때 가장 큰 기준은?,가장 자주 따르는 기준을 골라주세요.,3,가성비,10
27,money,daily,🍱,점심 메뉴를 고를 때 가장 큰 기준은?,가장 자주 따르는 기준을 골라주세요.,4,오늘 기분,4
28,money,luck,📬,예상보다 좋은 소식이 오면 당신은?,가장 가까운 반응을 골라주세요.,1,곧바로 다음 계획을 세운다,9
28,money,luck,📬,예상보다 좋은 소식이 오면 당신은?,가장 가까운 반응을 골라주세요.,2,오늘은 운이 좋다고 느낀다,10
28,money,luck,📬,예상보다 좋은 소식이 오면 당신은?,가장 가까운 반응을 골라주세요.,3,일단 저장해 둔다,7
28,money,luck,📬,예상보다 좋은 소식이 오면 당신은?,가장 가까운 반응을 골라주세요.,4,믿기지 않아 확인부터 한다,6
29,money,money_habit,🧿,행운 아이템이나 루틴을 믿는 편인가요?,재미로 가장 가까운 항목을 선택해 주세요.,1,있으면 챙긴다,7
29,money,money_habit,🧿,행운 아이템이나 루틴을 믿는 편인가요?,재미로 가장 가까운 항목을 선택해 주세요.,2,재미로 믿는다,6
29,money,money_habit,🧿,행운 아이템이나 루틴을 믿는 편인가요?,재미로 가장 가까운 항목을 선택해 주세요.,3,기회가 왔을 때만 떠올린다,5
29,money,money_habit,🧿,행운 아이템이나 루틴을 믿는 편인가요?,재미로 가장 가까운 항목을 선택해 주세요.,4,전혀 신경 안 쓴다,3
30,money,daily,📊,이번 주 돈 흐름을 한 단어로 표현하면?,가장 가까운 항목을 골라주세요.,1,안정,9
30,money,daily,📊,이번 주 돈 흐름을 한 단어로 표현하면?,가장 가까운 항목을 골라주세요.,2,확장,10
30,money,daily,📊,이번 주 돈 흐름을 한 단어로 표현하면?,가장 가까운 항목을 골라주세요.,3,흐릿함,4
30,money,daily,📊,이번 주 돈 흐름을 한 단어로 표현하면?,가장 가까운 항목을 골라주세요.,4,긴장,3
31,spending,saving,🏦,월급이나 용돈이 들어오면 가장 먼저 하는 일은?,가장 자주 하는 행동을 골라주세요.,1,저축/투자 금액부터 나눈다,10
31,spending,saving,🏦,월급이나 용돈이 들어오면 가장 먼저 하는 일은?,가장 자주 하는 행동을 골라주세요.,2,고정지출부터 체크한다,8
31,spending,saving,🏦,월급이나 용돈이 들어오면 가장 먼저 하는 일은?,가장 자주 하는 행동을 골라주세요.,3,사고 싶던 것을 찾아본다,4
31,spending,saving,🏦,월급이나 용돈이 들어오면 가장 먼저 하는 일은?,가장 자주 하는 행동을 골라주세요.,4,그날 기분에 따라 다르다,5
32,spending,impulse,🛍️,세일 문구를 보면 보통 어떤 행동을 하나요?,평소 소비 습관에 맞게 골라주세요.,1,바로 구매한다,2
32,spending,impulse,🛍️,세일 문구를 보면 보통 어떤 행동을 하나요?,평소 소비 습관에 맞게 골라주세요.,2,장바구니에 넣고 고민한다,6
32,spending,impulse,🛍️,세일 문구를 보면 보통 어떤 행동을 하나요?,평소 소비 습관에 맞게 골라주세요.,3,필요한지 먼저 확인한다,10
32,spending,impulse,🛍️,세일 문구를 보면 보통 어떤 행동을 하나요?,평소 소비 습관에 맞게 골라주세요.,4,세일이어도 거의 관심 없다,8
33,spending,habit,🍔,배달앱을 열 때 가장 먼저 보는 것은?,가장 자주 하는 행동을 골라주세요.,1,최저주문/배달비,9
33,spending,habit,🍔,배달앱을 열 때 가장 먼저 보는 것은?,가장 자주 하는 행동을 골라주세요.,2,먹고 싶은 메뉴,5
33,spending,habit,🍔,배달앱을 열 때 가장 먼저 보는 것은?,가장 자주 하는 행동을 골라주세요.,3,할인쿠폰 여부,10
33,spending,habit,🍔,배달앱을 열 때 가장 먼저 보는 것은?,가장 자주 하는 행동을 골라주세요.,4,리뷰 평점,7
34,spending,risk,🎮,한정판이나 인기 상품을 보면 어떤 편인가요?,가장 가까운 답을 골라주세요.,1,지금 안 사면 후회할 것 같아 바로 산다,3
34,spending,risk,🎮,한정판이나 인기 상품을 보면 어떤 편인가요?,가장 가까운 답을 골라주세요.,2,필요하면 산다,7
34,spending,risk,🎮,한정판이나 인기 상품을 보면 어떤 편인가요?,가장 가까운 답을 골라주세요.,3,가격 추이를 지켜본다,9
34,spending,risk,🎮,한정판이나 인기 상품을 보면 어떤 편인가요?,가장 가까운 답을 골라주세요.,4,대체품을 찾는다,8
35,spending,saving,🧾,가계부나 지출 메모는 어느 정도 하나요?,실제 습관과 가장 가까운 답을 골라주세요.,1,거의 매일 기록한다,10
35,spending,saving,🧾,가계부나 지출 메모는 어느 정도 하나요?,실제 습관과 가장 가까운 답을 골라주세요.,2,주기적으로 정리한다,8
35,spending,saving,🧾,가계부나 지출 메모는 어느 정도 하나요?,실제 습관과 가장 가까운 답을 골라주세요.,3,생각날 때만 적는다,4
35,spending,saving,🧾,가계부나 지출 메모는 어느 정도 하나요?,실제 습관과 가장 가까운 답을 골라주세요.,4,거의 하지 않는다,2
36,spending,impulse,📱,SNS에서 예쁜 제품을 보면 주로 어떻게 하나요?,평소 행동을 골라주세요.,1,링크를 눌러 바로 본다,4
36,spending,impulse,📱,SNS에서 예쁜 제품을 보면 주로 어떻게 하나요?,평소 행동을 골라주세요.,2,저장해 두고 나중에 본다,7
36,spending,impulse,📱,SNS에서 예쁜 제품을 보면 주로 어떻게 하나요?,평소 행동을 골라주세요.,3,리뷰를 먼저 찾아본다,9
36,spending,impulse,📱,SNS에서 예쁜 제품을 보면 주로 어떻게 하나요?,평소 행동을 골라주세요.,4,관심이 금방 사라진다,6
37,spending,habit,☕,카페 이용 패턴은 어떤 편인가요?,평소 지출 성향에 맞게 골라주세요.,1,습관적으로 자주 간다,4
37,spending,habit,☕,카페 이용 패턴은 어떤 편인가요?,평소 지출 성향에 맞게 골라주세요.,2,필요할 때만 간다,8
37,spending,habit,☕,카페 이용 패턴은 어떤 편인가요?,평소 지출 성향에 맞게 골라주세요.,3,쿠폰/적립이 있을 때 간다,9
37,spending,habit,☕,카페 이용 패턴은 어떤 편인가요?,평소 지출 성향에 맞게 골라주세요.,4,거의 가지 않는다,10
38,spending,risk,🎲,새로운 재테크/구매 제안을 들으면 어떤 편인가요?,가장 가까운 태도를 골라주세요.,1,일단 해본다,4
38,spending,risk,🎲,새로운 재테크/구매 제안을 들으면 어떤 편인가요?,가장 가까운 태도를 골라주세요.,2,주변 후기를 본다,7
38,spending,risk,🎲,새로운 재테크/구매 제안을 들으면 어떤 편인가요?,가장 가까운 태도를 골라주세요.,3,수익/손실을 계산해 본다,10
38,spending,risk,🎲,새로운 재테크/구매 제안을 들으면 어떤 편인가요?,가장 가까운 태도를 골라주세요.,4,낯설면 피한다,6
39,spending,saving,🥡,냉장고에 재료가 있을 때 외식을 제안받으면?,가장 자주 하는 선택을 골라주세요.,1,외식한다,4
39,spending,saving,🥡,냉장고에 재료가 있을 때 외식을 제안받으면?,가장 자주 하는 선택을 골라주세요.,2,상황 보고 결정한다,6
39,spending,saving,🥡,냉장고에 재료가 있을 때 외식을 제안받으면?,가장 자주 하는 선택을 골라주세요.,3,집 재료를 먼저 활용한다,10
39,spending,saving,🥡,냉장고에 재료가 있을 때 외식을 제안받으면?,가장 자주 하는 선택을 골라주세요.,4,할인 있으면 외식한다,7
40,spending,impulse,👟,신발이나 옷을 살 때 가장 큰 기준은?,가장 공감되는 항목을 골라주세요.,1,지금 갖고 싶은지,4
40,spending,impulse,👟,신발이나 옷을 살 때 가장 큰 기준은?,가장 공감되는 항목을 골라주세요.,2,오래 입을 수 있는지,10
40,spending,impulse,👟,신발이나 옷을 살 때 가장 큰 기준은?,가장 공감되는 항목을 골라주세요.,3,브랜드/유행,5
40,spending,impulse,👟,신발이나 옷을 살 때 가장 큰 기준은?,가장 공감되는 항목을 골라주세요.,4,할인 폭,8
41,spending,habit,🚕,이동할 때 택시를 타는 기준은?,가장 가까운 답을 골라주세요.,1,귀찮으면 탄다,3
41,spending,habit,🚕,이동할 때 택시를 타는 기준은?,가장 가까운 답을 골라주세요.,2,시간이 촉박할 때만 탄다,9
41,spending,habit,🚕,이동할 때 택시를 타는 기준은?,가장 가까운 답을 골라주세요.,3,비용보다 편함이 중요하다,5
41,spending,habit,🚕,이동할 때 택시를 타는 기준은?,가장 가까운 답을 골라주세요.,4,가능하면 대중교통을 탄다,10
42,spending,risk,🎁,친구 선물 예산을 잡을 때 보통 어떤 편인가요?,평소 방식에 맞게 골라주세요.,1,기분 따라 넉넉히 쓴다,5
42,spending,risk,🎁,친구 선물 예산을 잡을 때 보통 어떤 편인가요?,평소 방식에 맞게 골라주세요.,2,상대와 상황에 맞춰 정한다,8
42,spending,risk,🎁,친구 선물 예산을 잡을 때 보통 어떤 편인가요?,평소 방식에 맞게 골라주세요.,3,미리 예산선을 정한다,10
42,spending,risk,🎁,친구 선물 예산을 잡을 때 보통 어떤 편인가요?,평소 방식에 맞게 골라주세요.,4,행사/할인을 적극 활용한다,9
43,spending,saving,📦,정기구독 서비스를 정리할 때 가장 가까운 패턴은?,실제 행동을 골라주세요.,1,매달 확인한다,10
43,spending,saving,📦,정기구독 서비스를 정리할 때 가장 가까운 패턴은?,실제 행동을 골라주세요.,2,분기별로 정리한다,8
43,spending,saving,📦,정기구독 서비스를 정리할 때 가장 가까운 패턴은?,실제 행동을 골라주세요.,3,생각날 때만 본다,4
43,spending,saving,📦,정기구독 서비스를 정리할 때 가장 가까운 패턴은?,실제 행동을 골라주세요.,4,거의 정리 안 한다,2
44,spending,impulse,🍰,기분이 안 좋을 때 소비하는 편인가요?,가장 가까운 답을 골라주세요.,1,자주 그렇다,3
44,spending,impulse,🍰,기분이 안 좋을 때 소비하는 편인가요?,가장 가까운 답을 골라주세요.,2,가끔 그렇다,5
44,spending,impulse,🍰,기분이 안 좋을 때 소비하는 편인가요?,가장 가까운 답을 골라주세요.,3,대체 활동을 찾는다,9
44,spending,impulse,🍰,기분이 안 좋을 때 소비하는 편인가요?,가장 가까운 답을 골라주세요.,4,거의 없다,10
45,spending,habit,🏪,편의점에 들렀을 때 가장 흔한 패턴은?,가장 자주 하는 행동을 골라주세요.,1,예정 없던 것도 함께 산다,3
45,spending,habit,🏪,편의점에 들렀을 때 가장 흔한 패턴은?,가장 자주 하는 행동을 골라주세요.,2,필요한 것만 산다,9
45,spending,habit,🏪,편의점에 들렀을 때 가장 흔한 패턴은?,가장 자주 하는 행동을 골라주세요.,3,행사 상품을 먼저 본다,7
45,spending,habit,🏪,편의점에 들렀을 때 가장 흔한 패턴은?,가장 자주 하는 행동을 골라주세요.,4,들어가도 안 사는 경우가 많다,8
46,spending,risk,💄,새로운 브랜드를 써볼 때 당신은?,가장 가까운 태도를 골라주세요.,1,광고 보고 바로 산다,3
46,spending,risk,💄,새로운 브랜드를 써볼 때 당신은?,가장 가까운 태도를 골라주세요.,2,샘플/후기를 본다,8
46,spending,risk,💄,새로운 브랜드를 써볼 때 당신은?,가장 가까운 태도를 골라주세요.,3,검증된 것만 산다,10
46,spending,risk,💄,새로운 브랜드를 써볼 때 당신은?,가장 가까운 태도를 골라주세요.,4,할인하면 시도한다,6
47,spending,saving,📚,자기계발이나 취미에 돈을 쓸 때 기준은?,실제 소비 판단 기준을 골라주세요.,1,성장 가능성이 있으면 쓴다,10
47,spending,saving,📚,자기계발이나 취미에 돈을 쓸 때 기준은?,실제 소비 판단 기준을 골라주세요.,2,가격이 적당하면 쓴다,7
47,spending,saving,📚,자기계발이나 취미에 돈을 쓸 때 기준은?,실제 소비 판단 기준을 골라주세요.,3,그때 끌리면 쓴다,4
47,spending,saving,📚,자기계발이나 취미에 돈을 쓸 때 기준은?,실제 소비 판단 기준을 골라주세요.,4,거의 안 쓴다,5
